id,nombre,nombre_mapa_ruta,descripcion_completa
1,Marinabus,Estación de Marinabus,"El Marinabus ofrece una forma práctica y agradable de recorrer la costa de Acapulco mientras se viaja entre el Zócalo y Puerto Marqués. Este servicio de transporte público permite desplazarse cómodamente a lo largo de la franja costera, convirtiendo el traslado en una experiencia panorámica con vistas hacia la Bahía de Acapulco. Durante el trayecto, pasajeros locales y visitantes pueden apreciar el contraste entre el centro histórico, las playas y la vida cotidiana del puerto, disfrutando del paisaje marítimo desde una perspectiva continua y accesible. Ideal para quienes desean explorar distintos puntos de la ciudad sin perder contacto con el entorno natural, el Marinabus transforma un viaje cotidiano en una oportunidad para descubrir Acapulco mientras se recorre su litoral, conectando de manera directa dos de sus zonas más representativas, la zona tradicional del puerto y la bahía de Puerto Marqués. El Marinabus no sólo fue creado como un nuevo medio de transporte público, sino que también se concibió como un símbolo de la reconstrucción y recuperación de Acapulco tras los huracanes Otis en 2023 y John en 2024."
2,Jardín del Puerto,Jardín del Puerto,"El Jardín del Puerto en Acapulco ha sido recientemente reabierto al público bajo el nuevo nombre de Jardín Vicente Guerrero el pasado 1 de abril de 2026. Tras 11 meses de intensos trabajos de remodelación a cargo de la Secretaría de Marina (Semar) y la ASIPONA, este espacio emblemático de la zona tradicional ha sido transformado en un moderno centro de convivencia y cultura. "
3,Museo Fuerte de San Diego,Fuerte de San Diego,"El Fuerte de San Diego es la fortaleza histórica más importante del puerto de Acapulco y uno de los ejemplos mejor conservados de arquitectura militar virreinal en México. Construido originalmente en el siglo XVII por la Corona española, su función principal fue proteger el puerto y las mercancías provenientes del comercio marítimo, especialmente las transportadas por el Galeón de Manila que conectaba Asia con la Nueva España. Su diseño pentagonal en forma de estrella respondía a los principios avanzados de ingeniería militar europea, permitiendo defensa estratégica en todas direcciones frente a ataques piratas y amenazas marítimas. Tras sufrir daños por un terremoto en el siglo XVIII, fue reconstruido y continuó desempeñando funciones militares, administrativas y sociales durante distintos periodos históricos. Actualmente alberga el Museo Histórico de Acapulco, donde se interpreta la relevancia del fuerte como pieza clave en la consolidación económica, cultural y urbana del puerto dentro de las rutas comerciales globales de la época virreinal. Es la fortificación militar marítima más importante del Océano Pacífico. El edificio, visto en planta, tiene una peculiar forma de estrella de cinco puntas, cada una con un baluarte, diseñada para resistir ataques piratas."
4,Museo de las 8 Regiones,Museo de las 8 regiones,"El Museo de las Ocho Regiones, anteriormente denominado Museo de las Siete Regiones, es un espacio cultural orientado a la promoción y difusión de la diversidad artística y cultural del estado de Guerrero. El recinto funciona como una plataforma expositiva para artistas de distintas localidades del estado, fortaleciendo la representación territorial de sus identidades regionales. Inaugurado el 27 de enero de 2018, el museo fue concebido como parte de una estrategia de revitalización cultural del puerto mediante la creación de nuevos espacios de exhibición y encuentro comunitario. Su reciente actualización conceptual incorpora oficialmente a la Región Sierra como la octava región de Guerrero, reconociendo la diversidad sociocultural completa del estado y ampliando su narrativa hacia una visión más incluyente del patrimonio, las expresiones artísticas y las tradiciones contemporáneas guerrerenses. Entre sus elementos artísticos destacados se encuentra el mural ""Alegoría: La Divina Danza del Sur"", creado por el artista guerrerense Hafid Álvarez Camargo, obra que celebra el movimiento, la tradición y la identidad cultural de Guerrero mediante una representación de sus danzas y expresiones comunitarias."
5,Museo de la Máscara,Museo de la máscara,"El Museo de la Máscara es un espacio cultural dedicado a la preservación y difusión del arte popular y las tradiciones rituales asociadas al uso de máscaras en Guerrero y diversas regiones de México y del mundo. Ubicado en el Complejo Cultural Siete Regiones, en el centro histórico de Acapulco y dentro del corredor cultural contiguo al Fuerte de San Diego, el museo exhibe un acervo conformado principalmente por piezas donadas por promotores culturales e instituciones, donde cerca del 60 % corresponde a máscaras guerrerenses provenientes de municipios como Tixtla, Chilapa, Chilpancingo y Cuajinicuilapa. Inaugurado en 2018, el recinto presenta máscaras elaboradas principalmente en madera y materiales naturales, utilizadas en danzas, ceremonias y representaciones simbólicas relacionadas con la vida, la muerte y las tradiciones comunitarias. A través de su colección permanente, el museo permite comprender la importancia histórica y cultural de la máscara como elemento de identidad, expresión ritual y patrimonio vivo dentro de las manifestaciones festivas y artísticas del estado de Guerrero. La colección alberga más de 280 máscaras de Guerrero, México y el mundo."
6,Museo Naval,Museo Naval,"El Museo Histórico Naval de Acapulco es un espacio cultural dedicado a la difusión de la historia marítima de Acapulco y del Pacífico mexicano, gestionado por una asociación civil sin fines de lucro. Ubicado en el Centro Cultural y Artesanal de las Siete Regiones, junto al Fuerte de San Diego, el museo resguarda un acervo especializado compuesto por modelos navales a escala elaborados en su propio taller, único en México, así como piezas recuperadas de naufragios, instrumentos de navegación, mapas, material fotográfico y documentos históricos. Su narrativa museográfica aborda procesos fundamentales como la ruta transpacífica del Galeón de Manila, las expediciones marítimas del siglo XVIII, la actividad de corsarios en la Mar del Sur y la evolución naval mexicana, permitiendo comprender el papel estratégico de Acapulco como nodo histórico del comercio, la exploración y la construcción marítima en el Pacífico a lo largo de distintos periodos históricos. Acapulco fue el puerto más importante de la Nueva España para el comercio con Asia. Este museo habla acerca de la época de los grandes navegantes y las rutas que conectaron al mundo a través del mar."
7,Edificio Oviedo,Edificio Oviedo,"El Edificio Oviedo, inaugurado en 1949, es uno de los íconos arquitectónicos más emblemáticos del Acapulco Tradicional. Ubicado frente al Malecón y a unos pasos del Zócalo, fue diseñado por el arquitecto Mariano B. Palacios con un estilo de líneas coloniales y modernas que simbolizó la ""época dorada"" del puerto. "
8,Zócalo,Zócalo,"El Zócalo de Acapulco, conocido oficialmente como Plaza Álvarez, se mantiene como el corazón social y cultural de la zona tradicional en abril de 2026. Tras los trabajos de recuperación posteriores al huracán Otis, la plaza presenta una actividad vibrante, aunque enfrenta retos por la alta afluencia de comercio semifijo durante esta temporada de Pascua. "
9,Murales de Sofía Bassi,Murales de Sofía Bassi,"Los Murales de Sofía Bassi en el Palacio Municipal de Acapulco representan una de las manifestaciones artísticas más singulares del patrimonio cultural contemporáneo del puerto. La obra fue realizada originalmente en la antigua cárcel de la calle Progreso por la artista surrealista mexicana Sofía Bassi durante su reclusión en la década de 1960, tras un proceso judicial que marcó profundamente su vida personal y artística. A pesar del confinamiento, Bassi continuó creando y realizó este mural con la colaboración de destacados artistas de la Generación de la Ruptura como José Luis Cuevas, Rafael Coronel, Alberto Gironella y Francisco Corzas. Actualmente conservado en el edificio que hoy alberga el Palacio Municipal de Acapulco, el mural constituye un testimonio de resiliencia creativa y un referente artístico que vincula la historia social del puerto con el arte mexicano del siglo XX."
10,Catedral de Nuestra Señora de la Soledad,Catedral de Nuestra Señora de la Soledad,"La Catedral de Nuestra Señora de la Soledad es el principal recinto católico de Acapulco y un referente visual del centro de la ciudad gracias a su inusual mezcla de estilos arquitectónicos. Ubicada frente a la Plaza Álvarez (Zócalo), destaca por su diseño que fusiona elementos neocoloniales, moriscos y bizantinos, especialmente visibles en sus cúpulas de color azul y torres bulbosas"
